,genus,line,kingdom,phylum,class,order,family
338,g__Salinibacterium,1106943.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Microbacteriaceae
339,g__Providencia,1129328.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae
340,g__HB118,609315.0,k__Bacteria, p__Nitrospirae, c__Nitrospira, o__Nitrospirales, f__[Thermodesulfovibrionaceae]
341,g__Brevundimonas,609314.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Caulobacterales, f__Caulobacteraceae
342,g__SAGMEG-1,4129996.0,k__Archaea, p__Euryarchaeota, c__Methanobacteria, o__Methanobacteriales, f__MSBL1
343,g__BF311,269309.0,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae
344,g__Paracoccus,4446822.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae
345,g__Methylibium,79085.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Comamonadaceae
346,g__Rubritalea,566853.0,k__Bacteria, p__Verrucomicrobia, c__Verrucomicrobiae, o__Verrucomicrobiales, f__Verrucomicrobiaceae
347,g__Salinispora,2193685.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Burkholderiaceae
348,g__Anaerococcus,939571.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__[Tissierellaceae]
349,g__Psychrobacter,105885.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Moraxellaceae
350,g__Tepidimonas,338160.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Comamonadaceae
351,g__Glycomyces,4413980.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Glycomycetaceae
352,g__Natronococcus,32934.0,k__Archaea, p__Euryarchaeota, c__Halobacteria, o__Halobacteriales, f__Halobacteriaceae
353,g__Moraxella,995035.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Moraxellaceae
354,g__Fluviicola,942894.0,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Cryomorphaceae
355,g__Gemella,922669.0,k__Bacteria, p__Firmicutes, c__Bacilli, o__Gemellales, f__Gemellaceae
356,g__Pelobacter,4334791.0,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Desulfuromonadales, f__Pelobacteraceae
357,g__Zoogloea,4334790.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Rhodocyclales, f__Rhodocyclaceae
358,g__Rhodococcus,1132705.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Nocardiaceae
